{V6X8-X9UZ48AV-4917LXBU},05/01/2017 07:50:18,DSL0441,PC-7252,http://nytimes.com/Battle_of_Ceresole/montluc.html
{T6I1-M0BJ00OY-4515RARW},05/01/2017 08:22:16,KAK0992,PC-1037,http://cnet.com/2000_Sri_Lanka_cyclone/thoothukudi.html
{R9Y1-K0TD56SU-6772BPYP},05/01/2017 09:01:47,DSL0441,PC-7252,http://foodnetwork.com/1955_MacArthur_Airport_United_Airlines_crash/unreversing.html
{J2S2-N4PG64UQ-5702OCCB},05/01/2017 09:12:17,DSL0441,PC-7252,http://youtube.com/Battle_of_Badr/meccan.html
{J1Y1-R5AX66DN-5036WCPU},05/01/2017 10:26:51,KAK0992,PC-1037,http://youtube.com/2004_World_Series/suppan.html
{R3I2-L5PF46KW-3546YKSW},05/01/2017 11:05:18,DSL0441,PC-7252,http://imdb.com/Barnards_Star/ophiuchus.html
{Z3F5-J9BO57QU-5406DSDO},05/01/2017 11:48:17,KAK0992,PC-1037,http://live.com/1080_Snowboarding/jarratt.html
{Z5O3-N2GA06NP-0100TPMR},05/01/2017 12:18:10,DSL0441,PC-7252,http://facebook.com/Battle_of_Badr/quraishi.html
{C6A4-X6OP27SN-7136XRID},05/01/2017 12:36:17,HMW0274,PC-1078,http://mapquest.com/1994_Fairchild_Air_Force_Base_B52_crash/mcgeehan.html
{P0K7-K3ER53TS-1582TDGL},05/01/2017 13:22:55,DSL0441,PC-7252,http://lowes.com/B_movie/corman.html
{F6X9-M2PV03ZQ-3597KFGC},05/01/2017 14:04:48,KAK0992,PC-1037,http://googleusercontent.com/Blue_Iguana/cyclura.html
{N8B9-E2ME71BJ-1745HEQK},05/01/2017 15:02:55,DSL0441,PC-7252,http://yahoo.com/Battle_of_Ramillies/taviers.html
{O0K3-L4KY67FR-6879PQKQ},05/01/2017 16:52:59,KAK0992,PC-1037,http://aol.com/3rd_Battalion_3rd_Marines/ltcol.html
{B1Y9-S3ZU91MP-7737OUCK},05/01/2017 18:11:24,KAK0992,PC-1037,http://yahoo.com/Battle_of_Ramillies/taviers.html
{S0G4-Q9TL34WN-1823OWXA},05/02/2017 08:53:11,KAK0992,PC-1037,http://espn.go.com/90377_Sedna/brunini.html
{V0C7-F2XA63VH-0420YFOJ},05/02/2017 09:34:48,KAK0992,PC-1037,http://live.com/Banksia_verticillata/torndirrup.html
{G1L5-K7QI09QS-0652TRBM},05/02/2017 11:50:23,LRL0873,PC-8504,http://facebook.com/Numerical_weather_prediction/gridboxes.html
{B4V0-B3SR94TS-0217SQXY},05/02/2017 11:56:04,KAK0992,PC-1037,http://youtube.com/2004_World_Series/suppan.html
{O7O9-E2UX03IM-6011ZQKK},05/02/2017 13:04:32,LRL0873,PC-8504,http://blogspot.com/Derfflingerclass_battlecruiser/ltzow.html
{U7Z1-J4BT71XV-4209AMDU},05/02/2017 13:30:16,LRL0873,PC-8504,http://pinterest.com/Akodon_spegazzinii/boliviensis.html
{O3J6-E0KF27HF-9437RBNQ},05/02/2017 13:50:54,LRL0873,PC-8504,http://weather.com/2006_Westchester_County_tornado/edt.html
{P2X9-D6ZD54CH-7321UMJV},05/02/2017 14:43:38,WSP0210,PC-0583,http://imdb.com/7_World_Trade_Center/wtc.html
{P3G9-I9MQ18ST-0632PRVG},05/02/2017 15:49:34,KAK0992,PC-1037,http://tumblr.com/Eurasian_Treecreeper/certhia.html
{S6V6-V0YV15QR-2794TLLY},05/02/2017 16:40:47,LRL0873,PC-8504,http://yahoo.com/2008_Humanitarian_Bowl/taua.html
{Q3R4-Q6CQ48PE-5309OQSC},05/02/2017 16:59:24,LRL0873,PC-8504,http://gap.com/Art_Ross/nha.html
{A4F2-I0RS64DI-1753MPKY},05/03/2017 08:03:07,HAC0651,PC-6687,http://twitter.com/1937_Social_Credit_backbenchers_revolt/hugill.html
{O3S5-C1PP65IT-6830ROVN},05/03/2017 08:15:21,SKC0670,PC-8864,http://youtube.com/2004_World_Series/suppan.html
{Q2H2-F1MC84JD-1117UYZX},05/03/2017 08:15:44,CCH0959,PC-0588,http://wordpress.com/2005_Texas_Longhorns_football_team/jamaal.html
{W9M1-V6RW73NE-0382QHHT},05/03/2017 08:17:45,SKC0670,PC-8864,http://careerbuilder.com/George_H_D_Gossip/whyld.html
{P7Y7-W1FJ21MS-5178VWHD},05/03/2017 08:22:10,KAK0992,PC-1037,http://wikipedia.org/Joseph_W_Tkach/wcg.html
{E2R0-P5HA48RZ-0654TMLZ},05/03/2017 08:28:34,PAS0349,PC-6612,http://youtube.com/2004_World_Series/suppan.html
{E1W1-Y9IC88VA-1893HYSR},05/03/2017 08:32:56,CCH0959,PC-0588,http://adobe.com/4chan/imageboards.html
{C6C9-S1XG56VH-2924LZQI},05/03/2017 08:35:47,SNL0096,PC-7201,http://facebook.com/Herbie_Hewett/tremenheere.html
{O3W0-Y5QS03IH-6698EVCG},05/03/2017 08:38:35,CCH0959,PC-0588,http://yahoo.com/2008_Humanitarian_Bowl/taua.html
{J7T1-O5QZ46HK-0894LOJF},05/03/2017 08:44:41,HRL0797,PC-9961,http://aweber.com/1999_Sydney_hailstorm/hailstorm.html
{T0Q9-Q2HU56PS-3552SWMN},05/03/2017 08:47:37,PIB0855,PC-1578,http://live.com/1080_Snowboarding/jarratt.html
{J6G4-R2TE28ZK-3841NAYP},05/03/2017 08:47:38,HAC0651,PC-6687,http://youtube.com/2004_World_Series/suppan.html
{P7S5-Y5PO40MA-9261HQSF},05/03/2017 08:48:21,DSL0441,PC-7252,http://usbank.com/1930_FIFA_World_Cup/patenaude.html
